date,Const Jobs (Thou),Real Resid Bldg Permits (1992 $MIL),Med Resale Price for SFH ($THOU),Med Resale Price for Condo ($THOU),No. of Resales for Condo (#),No. of Resales for SFH (#),"HNL Const Cost Idx, SFH (Idx (1992=100))"
1/1/1972,0.599881403,,,,,,
4/1/1972,0.60411975,,,,,,
7/1/1972,0.618182242,,,,,,
10/1/1972,0.636737607,,,,,,
1/1/1973,0.683236954,,,,,,
4/1/1973,0.697923862,,,,,,
7/1/1973,0.713277035,,,,,,
10/1/1973,0.732745837,,,,,,
1/1/1974,0.849276384,,,,,,
4/1/1974,0.852237757,,,,,,
7/1/1974,0.874827192,,,,,,
10/1/1974,0.87213941,,,,,,
1/1/1975,0.911085901,,,,,,
4/1/1975,0.889860896,,,,,,
7/1/1975,0.858685593,,,,,,
10/1/1975,0.810291845,,,,,,
1/1/1976,0.842187755,,,,,,
4/1/1976,0.813384145,,,,,,
7/1/1976,0.785065203,,,,,,
10/1/1976,0.790910128,,,,,,
1/1/1977,0.709045223,,,,,,
4/1/1977,0.70753084,,,,,,
7/1/1977,0.686307682,,,,,,
10/1/1977,0.632797412,,,,,,
1/1/1978,0.667307289,,,,,,
4/1/1978,0.68582649,,,,,,
7/1/1978,0.717465683,,,,,,
10/1/1978,0.746606816,,,,,,
1/1/1979,0.894882219,,,,,,
4/1/1979,0.903999792,,,,,,
7/1/1979,0.948650647,,,,,,
10/1/1979,0.97587317,,,,,,
1/1/1980,1.466007607,,,,11.44941741,9.700154241,
4/1/1980,1.444834642,,,,6.92737414,2.899708036,
7/1/1980,1.342732271,,,,11.10188336,5.582797768,
10/1/1980,1.367248073,,,,10.52132509,4.817339955,
1/1/1981,1.15516891,,,,11.6490458,4.381814422,
4/1/1981,1.115288821,,,,12.09943419,4.948012233,
7/1/1981,1.091083639,,,,9.949160548,6.522284799,
10/1/1981,1.042299624,,,,12.30235946,7.147888546,
1/1/1982,0.857241215,,,,11.40915158,8.441507167,65.4
4/1/1982,0.814494722,,,,10.1982008,7.011857808,64.5
7/1/1982,0.78181311,,,,9.475839897,6.184372322,65
10/1/1982,0.774394964,,,,8.916807727,5.362262703,66.3
1/1/1983,1.044417606,,,,11.9098269,5.723147001,69.6
4/1/1983,1.022817646,,,,15.41079819,8.256309331,71
7/1/1983,1.025719896,,,,17.42319214,10.75218987,72.4
10/1/1983,1.019986122,,,,18.25618277,12.2683538,73.1
1/1/1984,0.694949939,,,,17.33528061,11.30344127,74.7
4/1/1984,0.693917841,,,,16.37482583,11.93145989,74.3
7/1/1984,0.635847139,,,,16.17963111,11.68538252,74.5
10/1/1984,0.557274451,,,,16.11026245,14.07971632,75
1/1/1985,0.715688281,,,,18.07854679,20.74244267,76.1
4/1/1985,0.756210235,,,,22.03851436,27.34708271,75.7
7/1/1985,0.788319236,,,,28.90713463,28.86430138,77.6
10/1/1985,0.796736978,,,,33.97580422,34.04617324,77.2
1/1/1986,0.808115925,,,,34.96862047,38.74716988,78.5
4/1/1986,0.811406063,,,,33.74779384,33.20467589,78.1
7/1/1986,0.887048603,,,,45.06568962,44.48369045,79.1
10/1/1986,0.932450497,,,,64.21789608,65.56446377,81.5
1/1/1987,0.966466998,,,,48.79849254,51.56535073,80.9
4/1/1987,0.987434059,,,,57.33508985,60.5747087,81.3
7/1/1987,0.98812751,,,,55.952114,70.39986637,82.5
10/1/1987,0.994379347,,,,52.91430361,71.46007419,83.6
1/1/1988,0.926920581,,,,47.92011454,65.64191573,86.7
4/1/1988,0.977639933,,,,47.74078973,62.28388916,85.4
7/1/1988,1.005005518,,,,52.74689346,68.88366354,86.6
10/1/1988,1.048225426,,,,55.59220226,71.19053157,88
1/1/1989,1.471709813,19.90860335,,,60.42509005,71.71914257,89.5
4/1/1989,1.571263235,23.61845304,,,62.41527481,69.21857955,90.5
7/1/1989,1.643876561,32.39889258,,,68.239246,66.64964644,90.3
10/1/1989,1.724216079,38.57580546,,,70.92038914,73.41263144,91.5
1/1/1990,1.767119438,38.51724891,,,77.6306797,87.37945454,91.6
4/1/1990,1.772177986,34.69891892,,,76.99151482,79.69495985,92.5
7/1/1990,1.804215457,29.54943474,,,68.12931141,68.64017755,97.3
10/1/1990,1.859859485,64.76777778,,,59.24849407,57.28540806,99
1/1/1991,1.730595293,18.91004057,,,34.36746045,35.5108558,98.6
4/1/1991,1.725888325,20.87574207,,,34.27435505,43.75118201,97.7
7/1/1991,1.691370558,15.23214649,,,36.53743239,45.47157884,98.3
10/1/1991,1.655283802,11.57255298,,,47.8207521,39.26638335,99.1
1/1/1992,1.710398826,13.05960591,,,74.88171606,30.83609347,101.5
4/1/1992,1.693760705,28.7134372,,,77.80300856,25.66757206,102.7
7/1/1992,1.670467335,24.57798254,,,61.9020347,20.88630481,103.1
10/1/1992,1.72204551,7.572023233,,,49.41324068,16.61002966,103.3
1/1/1993,2.922554938,19.85794824,,,43.42280467,14.3973628,108.2
4/1/1993,2.870707559,12.72201915,,,45.1597951,15.09994083,114.9
7/1/1993,2.799758512,9.198841355,,,51.04900947,19.96058968,112.2
10/1/1993,2.698792562,11.34746835,,,53.36839076,27.54210669,110.6
1/1/1994,1.926043916,24.44054054,252272.2592,139439.1269,52.66995274,35.41609891,118.4
4/1/1994,1.91587473,37.9226066,246989.0294,144066.7907,52.33647917,40.13888918,124.3
7/1/1994,1.879265659,11.21011513,246778.2898,137954.3244,49.60654956,36.11362568,121.6
10/1/1994,1.810115191,22.62761826,241460.4216,141039.758,47.38701852,31.33138623,120.5
1/1/1995,1.634901488,7.497627551,244512.1799,141144.9907,40.74491286,26.0233827,117.6
4/1/1995,1.596702855,8.77262309,240078.7653,140097.2758,35.76099003,24.18448324,117.8
7/1/1995,1.571873743,8.107523246,247126.3222,142164.1248,37.77101046,24.37682667,118.3
10/1/1995,1.529855247,14.29351593,247032.7326,140093.6086,39.72308665,26.41530739,119.2666667
1/1/1996,1.28418946,11.32977747,217017.4877,144336.5578,44.76947421,30.39681009,120.7333333
4/1/1996,1.264176117,12.65479652,215725.2636,150455.9063,45.5377708,37.09488037,122.5333333
7/1/1996,1.240827218,12.45583913,219953.7161,146910.6367,46.64142891,30.73332923,129.3
10/1/1996,1.217478319,7.974924145,229303.5326,149046.8992,47.05132607,35.77498032,129.6333333
1/1/1997,1.025740938,10.50507416,234808.3917,127777.3355,45.1355346,33.77752318,128.1
4/1/1997,0.990612823,8.296258065,226631.0924,128957.3521,49.03390688,31.31599405,129.1666667
7/1/1997,0.980776951,6.566943164,229347.7493,125637.2002,57.83723673,34.15850361,130.2
10/1/1997,0.975156453,12.13962992,222712.7665,119878.1122,61.99332179,45.74797916,129.7
1/1/1998,0.906256861,5.587682908,222992.0688,127887.2668,72.10504313,58.73430501,129.3
4/1/1998,0.898353458,11.38924149,233448.3266,123164.1496,78.76894126,61.51390221,129.2
7/1/1998,0.897036224,11.11999225,228040.5175,121313.5155,85.38620013,74.24510992,129.1
10/1/1998,0.898353458,11.17170543,230019.0871,126535.0681,99.73981548,75.50668286,129
1/1/1999,0.878776713,16.7781303,235516.1807,131876.4906,97.50894761,77.03489169,129.7
4/1/1999,0.878776713,14.75083969,228840.9344,122208.5071,107.2835338,97.97907449,131
7/1/1999,0.877474822,20.45291375,237201.7298,128160.1107,109.717111,109.7991547,128.7
10/1/1999,0.895701302,11.2077812,236441.1551,121904.8916,118.4904075,116.1868791,129.8
1/1/2000,1.033792872,17.09539364,250046.5158,128331.4332,131.2714537,118.5982621,132.1
4/1/2000,1.067047747,15.2455157,257322.9008,149157.4802,127.624407,110.9104093,133.8
7/1/2000,1.097410894,21.9618562,256848.1276,152588.8673,130.2738185,95.7925016,136.3
10/1/2000,1.106086079,17.48892909,264332.4557,174202.2194,126.8303208,94.69882695,138.73977
1/1/2001,1.09792018,22.92172169,280191.7144,161925.4463,128.2469126,96.03433388,139.63
4/1/2001,1.070472175,15.74071513,291673.9134,159954.9742,123.4092825,91.56881415,141.6057645
7/1/2001,1.061804384,18.56242084,290441.1408,163342.6006,112.4912975,94.86493822,143.3745104
10/1/2001,1.058915121,36.58598999,297193.2314,175776.9789,100.8525074,87.53191375,145.8047083
1/1/2002,1.219188843,27.56054878,299535.2691,197613.1115,118.4644195,106.9234577,147.3098389
4/1/2002,1.249951908,38.30207095,306416.7381,208466.451,134.0173379,119.2603775,148.7264228
7/1/2002,1.280714973,19.44437677,335943.8977,215008.524,137.5539667,121.6459866,150.538124
10/1/2002,1.306620712,29.97946522,353104.095,227009.9134,147.9642758,124.1701783,152.8532603
1/1/2003,1.282970474,21.04396992,355154.0425,249464.0635,147.4524348,124.6536604,154.0353609
4/1/2003,1.309503927,23.41872689,366404.0492,269246.4764,159.6869289,114.2469559,154.2910517
7/1/2003,1.320429466,28.90344769,366619.0113,312301.7331,185.7548844,142.0554081,154.6088912
10/1/2003,1.321990257,25.68074084,386822.897,331299.7271,187.1057519,155.0439756,155.7833213
1/1/2004,1.268696884,15.30715078,435700.9616,351270.1213,172.8826822,140.3638955,158.9532392
4/1/2004,1.306232295,21.5308233,480624.1959,372313.5315,177.429709,133.9666512,162.3819466
7/1/2004,1.334759207,24.36475978,514428.6497,395022.6732,176.1498402,125.9770221,164.0852623
10/1/2004,1.382804533,18.79744743,549246.1929,402893.6739,172.5377686,127.6924311,166.97166
1/1/2005,1.402519332,75.40317035,576921.6355,417274.4216,168.2867112,136.7331449,167.5359198
4/1/2005,1.46138688,49.80939884,606472.7127,442367.723,179.8514933,158.9075651,173
7/1/2005,1.502594163,23.67832509,651824.6904,444272.2509,180.7365317,186.9008798,178.1826833
10/1/2005,1.533499626,18.40849472,672280.9615,445085.6046,142.1252637,190.4584102,181.672649
1/1/2006,1.694547114,15.41436402,681116.6748,423877.1477,130.2738586,217.3410052,185.6449864
4/1/2006,1.725036124,37.3911397,691863.0188,415746.2348,116.4844699,197.3183108,188.6996721
7/1/2006,1.777990722,47.39718576,682155.1081,456142.7332,113.0964303,155.3336509,193.8
10/1/2006,1.837364058,23.9529577,656865.1982,491733.8843,116.1452412,127.0070331,201.4984563
1/1/2007,1.853313446,28.74583702,657252.1665,540988.9892,121.927331,93.96427738,203.7699545
4/1/2007,1.882271468,20.06187107,654553.7983,579912.6801,112.1838505,81.04668874,204.8215237
7/1/2007,1.901576817,49.56188233,638039.6272,586268.4738,97.28447602,62.31622402,207.037187
10/1/2007,1.911229491,31.01794127,626154.408,590828.8569,78.60434241,57.67280986,214.8326139
1/1/2008,2.096224961,36.97959184,638820.4885,618372.3448,80.3364307,55.26493831,215.6
4/1/2008,2.048382126,42.4085863,622344.3262,582837.5695,74.27128578,44.11430676,216.1
7/1/2008,1.995223421,40.60839755,581584.547,525735.4347,69.60239632,38.87418548,218.385
10/1/2008,1.911941448,7.534471179,543500.6383,444054.651,58.78988721,29.74656945,226.8716887
1/1/2009,1.717352083,63.69481288,485393.784,334124.068,51.04129804,27.58339173,221.2056
4/1/2009,1.62081454,10.43125858,458876.1384,321759.2482,57.70725498,32.80300244,218.5
7/1/2009,1.546294331,16.38722799,466160.9991,298857.816,69.43757355,46.74702988,221.5
10/1/2009,1.500566021,7.952076986,467069.0785,300758.8679,84.81387343,53.86657595,227.9152985
1/1/2010,1.593771626,7.40923907,488004.438,295668.6747,80.79101904,52.931509,222.311628
4/1/2010,1.572087659,5.773510541,472053.9644,278723.1049,99.41968684,64.54355131,218.2
7/1/2010,1.543175702,9.756349133,517319.5403,258292.8156,86.54309552,53.98355167,222.0185
10/1/2010,1.564859669,7.734117937,497004.0574,242315.4048,91.2461986,63.54138802,223.9040074
1/1/2011,1.33125,7.596906359,468136.0091,230766.0031,92.50630329,76.58335727,226.7028075
4/1/2011,1.346875,7.304433938,467261.0617,222031.5492,88.94555524,72.0290356,223.8732
7/1/2011,1.36875,5.211988941,454125.9382,235446.8862,88.90121167,70.05355536,227.1249255
10/1/2011,1.35625,6.211088884,459476.9909,249298.0615,89.6469298,70.33405178,227.1249255
