date,Total Nonfarm Jobs,Construction & Mining,Manufacturing,"Trade, Transport, & Utility",Transportation & Utilities,Total Trade Jobs,Information Jobs,Financial Activities,Finance and Insurance Jobs,Real Estate & Rental Jobs,Professional & Bus Services,"Prof, Sci, and Tech Svc Jobs",Mgmt of Companies jobs,Admin & Waste Management,Educational & Health Svs,Educational Services,Healthcare & Social Asst,Leisure & Hospitality,"Arts, Entertain., & Recreation",Accom & Food Services,Other service jobs,Total Government Jobs,Total Government Jobs,Federal Government Jobs,State & Local Government Jobs,Employment,Unemployment Rate,Retail Trade Jobs,Wholesale Trade Jobs
1/1/1972,9.978764407,0.599611814,1.326337814,1.831808385,0.625855503,,,0.285175231,0.096900705,0.188274526,,,,,,,0.383198931,,,2.140380526,,2.256390503,0.302644016,1.953746487,,,,,
2/1/1972,9.986054237,0.600187071,1.279841205,1.822810036,0.588620559,,,0.286394779,0.097206857,0.189187922,,,,,,,0.383076408,,,2.163779192,,2.271174453,0.301970981,1.969203471,,,,,
3/1/1972,9.985901554,0.599845324,1.271677756,1.828705112,0.595807358,,,0.284227259,0.096618467,0.187608792,,,,,,,0.384162615,,,2.208878714,,2.25149667,0.301548654,1.949948017,,,,,
4/1/1972,10.04095212,0.602414005,1.286463264,1.831262597,0.600261422,,,0.285627465,0.097124632,0.188502832,,,,,,,0.391192222,,,2.218181891,,2.273780898,0.303848008,1.96993289,,,,,
5/1/1972,10.07884364,0.602890209,1.293564865,1.8415154,0.592760925,,,0.291884516,0.099106704,0.192777812,,,,,,,0.395360502,,,2.243728755,,2.259617102,0.302546186,1.957070916,,,,,
6/1/1972,10.16683814,0.607055035,1.368360441,1.859103472,0.602188155,,,0.294537757,0.100063017,0.19447474,,,,,,,0.400167544,,,2.272000724,,2.375451596,0.300196485,2.075255111,,,,,
7/1/1972,10.17677232,0.612182179,1.290917728,1.868281845,0.60217578,,,0.295018174,0.100232271,0.194785904,,,,,,,0.403583596,,,2.288774545,,2.307950304,0.295580494,2.012369811,,,,,
8/1/1972,10.22280805,0.615517461,1.282787247,1.868330423,0.608502094,,,0.296008643,0.100357847,0.195650795,,,,,,,0.404148139,,,2.304660057,,2.247773359,0.298142829,1.94963053,,,,,
9/1/1972,10.22894463,0.626847084,1.202015837,1.868016095,0.608391018,,,0.300550139,0.101959636,0.198590503,,,,,,,0.406287751,,,2.359705593,,2.379389873,0.296088772,2.083301101,,,,,
10/1/1972,10.29446864,0.629612305,1.2315834,1.880534916,0.624354387,,,0.302980348,0.102748215,0.200232133,,,,,,,0.399240811,,,2.341967038,,2.3197083,0.300213228,2.019495071,,,,,
11/1/1972,10.37300325,0.64003869,1.243236741,1.924680833,0.619523293,,,0.305453125,0.103662274,0.201790851,,,,,,,0.398175679,,,2.366334214,,2.327076764,0.298634762,2.028442002,,,,,
