date,Total Nonfarm Jobs,Construction & Mining,Manufacturing,"Trade, Transport, & Utility",Transportation & Utilities,Total Trade Jobs,Information Jobs,Financial Activities,Finance and Insurance Jobs,Real Estate & Rental Jobs,Professional & Bus Services,"Prof, Sci, and Tech Svc Jobs",Mgmt of Companies jobs,Admin & Waste Management,Educational & Health Svs,Educational Services,Healthcare & Social Asst,Leisure & Hospitality,"Arts, Entertain., & Recreation",Accom & Food Services,Wholesale Trade Jobs,Other service jobs,Total Government Jobs,Total Government Jobs,Federal Government Jobs,State & Local Government Jobs,Employment,Unemployment Rate,Retail Trade Jobs
1/1/1972,9.983573399,0.599881403,1.292618925,1.827774511,0.603427807,,,0.285265757,0.096908676,0.18835708,,,,,,,0.383479318,,,2.171012811,,2.259687209,0.30205455,1.957632658,,,,,
4/1/1972,10.09554463,0.60411975,1.316129523,1.84396049,0.598403501,,,0.290683246,0.098764784,0.191918461,,,,,,,0.395573423,,,2.244637123,,2.302949865,0.302196893,2.000752973,,,,,
7/1/1972,10.20950833,0.618182242,1.258573604,1.868209454,0.606356297,,,0.297192319,0.100849918,0.196342401,,,,,,,0.404673162,,,2.317713398,,2.311704512,0.296604031,2.015100481,,,,,
10/1/1972,10.35221337,0.636737607,1.233977948,1.912577306,0.62630513,,,0.30568215,0.103702639,0.20197951,,,,,,,0.400898781,,,2.363670001,,2.325658414,0.299144526,2.026513888,,,,,
1/1/1973,10.5864384,0.683236954,1.236763046,2.053151191,0.795298289,,,0.333620829,0.113491669,0.22012916,,,,,,,0.404793921,,,2.22862344,,2.379383626,0.406845032,1.972538595,,,,,
4/1/1973,10.59409633,0.697923862,1.221936183,2.082098956,0.805690867,,,0.342127518,0.116417708,0.225709809,,,,,,,0.421485069,,,2.267484787,,2.300819804,0.402844118,1.897975686,,,,,
7/1/1973,10.706865,0.713277035,1.225171579,2.085878763,0.812809126,,,0.348191405,0.118404113,0.229787292,,,,,,,0.42678116,,,2.313022822,,2.288450204,0.396099741,1.892350463,,,,,
10/1/1973,10.86823655,0.732745837,1.219362526,2.117483123,0.832010906,,,0.352739089,0.119886215,0.232852874,,,,,,,0.434136737,,,2.363902286,,2.331346366,0.394211109,1.937135256,,,,,
1/1/1974,10.5175334,0.849276384,1.030019237,2.073537373,0.681599687,,,0.41080363,0.140119638,0.270683992,,,,,,,0.459737657,,,2.233756902,,2.292449847,0.40159576,1.890854087,,,,,
4/1/1974,10.6047404,0.852237757,1.016234806,2.093912236,0.698725997,,,0.410970836,0.140240314,0.270730522,,,,,,,0.456905461,,,2.268613677,,2.390461989,0.402607413,1.987854576,,,,,
7/1/1974,10.78243702,0.874827192,1.066671054,2.136784717,0.714946057,,,0.418218033,0.142588364,0.275629669,,,,,,,0.436330107,,,2.301627033,,2.374170004,0.39991675,1.974253254,,,,,
10/1/1974,10.76956271,0.87213941,1.11484157,2.100627335,0.712017204,,,0.426145083,0.145052944,0.281092139,,,,,,,0.473459107,,,2.298669056,,2.376251494,0.395880077,1.980371417,,,,,
1/1/1975,11.52618546,0.911085901,1.231645774,2.192624165,0.728829798,,,0.542610911,0.188323492,0.354287419,,,,,,,0.527955663,,,2.392836522,,2.380004651,0.299992006,2.080012645,,,,,
4/1/1975,11.5843555,0.889860896,1.209130516,2.219365978,0.73168691,,,0.552227376,0.191671126,0.36055625,,,,,,,0.540917132,,,2.395782004,,2.443919717,0.299793391,2.144126326,,,,,
7/1/1975,11.6355763,0.858685593,1.222210498,2.22304273,0.745614605,,,0.554588818,0.192132005,0.362456813,,,,,,,0.552098667,,,2.4350679,,2.427333299,0.301142013,2.126191286,,,,,
10/1/1975,11.66173545,0.810291845,1.228613212,2.230753222,0.745583014,,,0.5562419,0.192648826,0.363593073,,,,,,,0.558091124,,,2.480613574,,2.482075667,0.29907259,2.183003077,,,,,
1/1/1976,12.14671364,0.842187755,1.186444951,2.332507114,0.769862576,,,0.617057577,0.214164091,0.402893486,,,,,,,0.552329274,,,2.58568343,,2.573366139,0.303583121,2.269783018,,,,,
4/1/1976,12.30422808,0.813384145,1.20789986,2.388390381,0.789066804,,,0.624981857,0.217014384,0.407967473,,,,,,,0.562839127,,,2.65626215,,2.675541147,0.300351926,2.375189221,,,,,
7/1/1976,12.33147987,0.785065203,1.223617068,2.405561414,0.792056548,,,0.626709448,0.217323093,0.409386355,,,,,,,0.570037429,,,2.683616177,,2.621604387,0.298671412,2.322932975,,,,,
10/1/1976,12.4408804,0.790910128,1.230138121,2.413852837,0.793755695,,,0.627270465,0.217377761,0.409892704,,,,,,,0.583228998,,,2.713204909,,2.662821661,0.297393541,2.36542812,,,,,
1/1/1977,12.9271119,0.709045223,1.147603623,2.693497462,0.95443585,,,0.710700418,0.248733505,0.461966913,,,,,,,0.612723971,,,2.850555937,,2.705708475,0.303571837,2.402136638,,,,,
4/1/1977,13.02776354,0.70753084,1.152144033,2.726314639,0.96119947,,,0.718222828,0.25151203,0.466710798,,,,,,,0.627776245,,,2.891002425,,2.750615109,0.299073233,2.451541876,,,,,
7/1/1977,13.081459,0.686307682,1.134676785,2.712197589,0.958184961,,,0.739944181,0.258847386,0.481096795,,,,,,,0.640691901,,,2.908475929,,2.762274587,0.297927993,2.464346595,,,,,
10/1/1977,13.13625027,0.632797412,1.068808893,2.748480276,0.977985486,,,0.758600355,0.265252722,0.493347633,,,,,,,0.65278506,,,2.970999043,,2.748068495,0.299426937,2.448641558,,,,,
1/1/1978,13.34112519,0.667307289,1.16282292,2.810699719,0.961799834,,,0.811968368,0.284740368,0.527228,,,,,,,0.6987752,,,2.911248479,,2.716309996,0.296585707,2.41972429,,,,,
4/1/1978,13.56602275,0.68582649,1.192282489,2.81979885,0.962131575,,,0.826180961,0.289880846,0.536300116,,,,,,,0.708402161,,,3.017327689,,2.785411762,0.298487352,2.48692441,,,,,
7/1/1978,13.80530385,0.717465683,1.176430086,2.868458542,0.995060078,,,0.838258415,0.293821886,0.544436529,,,,,,,0.714473816,,,3.072121229,,2.833703115,0.302602924,2.531100191,,,,,
10/1/1978,14.02137232,0.746606816,1.190564505,2.925070355,1.014640145,,,0.855116666,0.299717314,0.555399352,,,,,,,0.74053205,,,3.158202603,,2.797908461,0.302324018,2.495584443,,,,,
1/1/1979,14.14750965,0.894882219,1.199358628,2.896698746,0.936873111,,,0.85866164,0.301673823,0.556987817,,,,,,,0.795814477,,,3.245426964,,2.73220072,0.299944143,2.432256577,,,,,
4/1/1979,14.23954021,0.903999792,1.18797235,2.911493567,0.929359956,,,0.885578543,0.311326843,0.5742517,,,,,,,0.809358396,,,3.200331987,,2.774569442,0.299728068,2.474841374,,,,,
7/1/1979,14.38714292,0.948650647,1.215360972,2.914305341,0.928637594,,,0.913693064,0.321172038,0.592521027,,,,,,,0.822549357,,,3.222096869,,2.784329257,0.29872166,2.485607597,,,,,
10/1/1979,14.36721476,0.97587317,1.21320805,2.938925871,0.946901821,,,0.930394477,0.327047876,0.603346601,,,,,,,0.836061395,,,3.22874418,,2.608900581,0.301606128,2.307294452,,,,,
1/1/1980,15.10916073,1.466007607,1.241460948,3.032902858,0.937041081,,,0.957083522,0.336850417,0.620233104,,,,,,,0.871285596,,,3.414585044,,2.859813136,0.296900743,2.562912392,,,,,
4/1/1980,15.16947147,1.444834642,1.205454179,3.055204596,0.936304562,,,0.944958113,0.332582594,0.612375519,,,,,,,0.874868357,,,3.450219968,,2.88322895,0.304315503,2.578913446,,,,,
7/1/1980,15.13946427,1.342732271,1.211886989,3.050721336,0.93234087,,,0.938736098,0.330600819,0.608135279,,,,,,,0.89288047,,,3.467834155,,2.879343302,0.300765161,2.578578142,,,,,
10/1/1980,15.21793888,1.367248073,1.19956455,3.081765194,0.94982553,,,0.936185987,0.32916142,0.607024566,,,,,,,0.900036186,,,3.468194166,,2.877614612,0.298018593,2.57959602,,,,,
1/1/1981,15.27319487,1.15516891,1.235838127,3.065231061,0.928392589,,,0.880160098,0.31162922,0.568530878,,,,,,,0.934889468,,,3.563175716,,2.880571717,0.296977517,2.5835942,,,,,
4/1/1981,15.25608279,1.115288821,1.266224197,3.067622311,0.955581764,,,0.882079477,0.312283617,0.56979586,,,,,,,0.948159778,,,3.578039018,,2.853042932,0.297906041,2.555136891,,,,,
7/1/1981,15.22499638,1.091083639,1.228981136,3.07951691,0.965040172,,,0.885104036,0.313379156,0.57172488,,,,,,,0.962183704,,,3.616354538,,2.875653719,0.300702431,2.574951288,,,,,
10/1/1981,15.19908476,1.042299624,1.225489873,3.061387515,0.955476165,,,0.881016833,0.311514605,0.569502227,,,,,,,0.98396838,,,3.687630727,,2.857398298,0.304414011,2.552984287,,,,,
1/1/1982,15.18112063,0.857241215,1.184308757,3.145949453,0.953383122,,,0.811929036,0.28669364,0.525235396,,,,,,,1.004094229,,,3.849576458,,2.827932589,0.295042144,2.532890445,,,,,
4/1/1982,15.16232332,0.814494722,1.211450835,3.142312309,0.954773806,,,0.805554257,0.284356431,0.521197826,,,,,,,1.014070785,,,3.885841781,,2.859979596,0.300081512,2.559898084,,,,,
7/1/1982,15.1280441,0.78181311,1.218696166,3.101125395,0.937114516,,,0.795169454,0.280642857,0.514526598,,,,,,,1.040264065,,,3.870279617,,2.888696361,0.301082419,2.587613943,,,,,
10/1/1982,15.13392632,0.774394964,1.202310907,3.079690445,0.930214233,,,0.795360336,0.280667717,0.514692619,,,,,,,1.036433583,,,3.865902144,,2.89005812,0.303793926,2.586264194,,,,,
1/1/1983,15.60458441,1.044417606,1.205542824,3.299350629,0.986513161,,,0.809615762,0.287297433,0.522318329,,,,,,,1.041801458,,,3.875763321,,2.818454995,0.301075479,2.517379516,,,,,
