date,Tot NonFarm Jobs (Thou),Unemployment Rate,Real Personal Income (2013 $MIL),Resid Pop (Thou),Real Per-Capita Pers Income (2013 $THOU),Tot Vis Arrivals (Thou),Tot Vis Days (Thou),Med Resale Price for SFH ($THOU),Real Resid Bldg Permits (1992 $MIL),Const Jobs (Thou)
1/1/1969,,,720974.5194,,,,,,,
1/1/1970,,,742589.1264,29.8,24919.0982,,,,,
1/1/1971,,,792830.8939,30.9,25657.95773,,,,,
1/1/1972,10.15833333,,818580.3783,31.9,25660.82691,,,,,0.61475
1/1/1973,10.69166667,,876969.5812,32.9,26655.61037,,,,,0.706808333
1/1/1974,10.66666667,,1080332.096,32.6,33139.02134,,,,,0.862108333
1/1/1975,11.6,,955398.1711,33.4,28604.73566,,,,,0.867491667
1/1/1976,12.3,,977765.2301,34.9,28016.19571,,,,,0.807883333
1/1/1977,13.04166667,,1021672.126,35.5,28779.4965,,,,,0.683908333
1/1/1978,13.68333333,,1045081.345,36.8,28398.9496,,,,,0.7043
1/1/1979,14.28333333,,1072736.185,38.1,28155.80538,,,,,0.930816667
1/1/1980,15.15833333,,1195568.308,39.4,30344.37329,,,,,1.405258333
1/1/1981,15.24166667,,1110489.678,40.457,27448.64123,,,,,1.101041667
1/1/1982,15.15,,1131042.397,41.804,27055.84148,,,,,0.806941667
1/1/1983,15.74166667,,1248338.406,42.796,29169.5113,,,,,1.028258333
1/1/1984,15.74166667,,1241050.943,43.634,28442.29139,,,,,0.645566667
1/1/1985,16.725,,1297266.972,44.357,29246.04847,,,,,0.764266667
1/1/1986,17.91666667,,1375035.169,45.567,30176.118,,,,,0.859733333
1/1/1987,19.31666667,,1398849.415,47.203,29634.75659,,,,,0.984091667
1/1/1988,21.025,,1570691.482,48.549,32352.70515,,,,,0.989466667
1/1/1989,23.19166667,,1730603.984,49.847,34718.31773,,,,114.6997922,1.60275
1/1/1990,24.05,3.941666667,1758679.646,51.676,34032.81302,1228.849543,,,168.5068349,1.8
1/1/1991,25.24166667,4.241666667,1787602.648,53.379,33488.87481,1182.326331,,,66.53035306,1.7
1/1/1992,24.56666667,9.825,1847588.012,54.439,33938.68388,881.7303428,5042.545358,,73.94641987,1.7
1/1/1993,22.40833333,13.29166667,1875077.274,55.461,33808.93373,576.3657,2975.377578,,52.90450774,2.825
1/1/1994,22.925,13.1,1859802.336,56.478,32929.67768,860.718751,4830.678644,246875,96.51252475,1.883333333
1/1/1995,23.50833333,11.46666667,1901127.402,57.068,33313.37006,929.1500805,5213.998818,244687.5,38.72573966,1.583333333
1/1/1996,23.33333333,12.025,1864899.647,57.688,32327.34099,975.4363453,5481.217458,220500,44.3080223,1.25
1/1/1997,23.39166667,10.95833333,1884344.973,57.712,32650.83472,997.086719,5936.905071,228375,37.48753593,0.991666667
1/1/1998,23.94166667,9.65,1921000.947,57.843,33210.60365,1078.399582,6279.755435,228625,39.26224081,0.9
1/1/1999,24.60833333,7.408333333,1972913.999,58.264,33861.62981,1089.288605,6400.674917,234500,63.13978043,0.883333333
1/1/2000,25.56666667,4.85,2075119.355,58.568,35430.94104,1074.821435,6620.566012,257137.5,71.85984865,1.075
1/1/2001,25.64583333,5.35,2110973.831,59.075,35733.79316,1008.697785,6155.998682,289875,94.14425634,1.070833333
1/1/2002,26.01666667,4.575,2197602.691,59.981,36638.31365,1005.897288,6335.030228,323750,115.2169014,1.2625
1/1/2003,27.03333333,4.216666667,2254174.689,60.805,37072.1929,975.8669848,6631.754503,368750,99.07040765,1.308333333
1/1/2004,28.05833333,3.533333333,2401445.42,62.095,38673.7325,1020.92131,7011.303564,495000,80.1105779,1.325
1/1/2005,28.80833333,2.825,2490450.134,62.863,39617.10599,1090.147411,7172.753029,626875,164.5546138,1.475
1/1/2006,29.64166667,2.558333333,2539067.766,63.465,40007.37045,1204.132133,7696.079012,678000,124.3659735,1.758333333
1/1/2007,30.35416667,2.7,2627163.198,64.49,40737.52827,1299.044953,8141.137648,644000,129.525408,1.8875
1/1/2008,29.8375,4.858333333,2648927.694,65.603,40378.14878,1030.648,7272.214535,596562.5,126.4140816,2.0125
1/1/2009,27.51666667,9.766666667,2591099.226,66.518,38953.35437,928.1121417,6831.314554,469375,98.1241149,1.595833333
1/1/2010,27.65833333,8.741666667,2601661.222,67.217,38705.40521,964.7238392,7134.700783,493595.5,30.70608285,1.566666667
1/1/2011,27.76666667,8.716666667,2614893.347,67.799,38568.31733,1011.499544,7617.26964,462250,26.31212468,1.35
1/1/2012,28.20833333,7.333333333,2670550.957,68.553,38956.00421,1084.680977,8170.488787,459375,34.45479616,1.308333333
1/1/2013,29.08333333,5.583333333,2728398,69.679,39156.67561,1114.354246,8496.907055,519737.5,35.01500846,1.341666667
1/1/2014,29.29166667,4.858333333,,70.475,,1113.604743,8590.465774,542625,39.26776025,1.208333333
