date,Tot NonFarm Jobs (Thou),Unemployment Rate,Tot Vis Arrivals (Thou),Tot Vis Days (Thou),Const Jobs (Thou)
1/1/1972,9.978764407,,,,0.599611814
2/1/1972,9.986054237,,,,0.600187071
3/1/1972,9.985901554,,,,0.599845324
4/1/1972,10.04095212,,,,0.602414005
5/1/1972,10.07884364,,,,0.602890209
6/1/1972,10.16683814,,,,0.607055035
7/1/1972,10.17677232,,,,0.612182179
8/1/1972,10.22280805,,,,0.615517461
9/1/1972,10.22894463,,,,0.626847084
10/1/1972,10.29446864,,,,0.629612305
11/1/1972,10.37300325,,,,0.64003869
12/1/1972,10.38916822,,,,0.640561828
1/1/1973,10.50754767,,,,0.667987588
2/1/1973,10.59209397,,,,0.685658599
3/1/1973,10.65967356,,,,0.696064673
4/1/1973,10.42388611,,,,0.693780488
5/1/1973,10.67048955,,,,0.698945018
6/1/1973,10.68791333,,,,0.701046081
7/1/1973,10.6670714,,,,0.712288963
8/1/1973,10.6975018,,,,0.710764208
9/1/1973,10.7560218,,,,0.716777935
10/1/1973,10.85993439,,,,0.737226527
11/1/1973,10.87220645,,,,0.728486349
12/1/1973,10.87256883,,,,0.732524635
1/1/1974,10.56140049,,,,0.856911154
2/1/1974,10.52161207,,,,0.850320914
3/1/1974,10.46958765,,,,0.840597084
4/1/1974,10.45152424,,,,0.832404523
5/1/1974,10.56245482,,,,0.852372472
6/1/1974,10.80024215,,,,0.871936275
7/1/1974,10.75123465,,,,0.87278023
8/1/1974,10.76944098,,,,0.878151662
9/1/1974,10.82663544,,,,0.873549683
10/1/1974,10.76949496,,,,0.878038447
11/1/1974,10.76769434,,,,0.873074018
12/1/1974,10.77149883,,,,0.865305767
1/1/1975,11.47856728,,,,0.912944771
2/1/1975,11.52011377,,,,0.910380229
3/1/1975,11.57987532,,,,0.909932703
4/1/1975,11.59124494,,,,0.901641114
5/1/1975,11.58617937,,,,0.896407736
6/1/1975,11.57564217,,,,0.871533838
7/1/1975,11.6150467,,,,0.861390637
8/1/1975,11.65201826,,,,0.866930571
9/1/1975,11.63966395,,,,0.847735572
10/1/1975,11.65249538,,,,0.828618468
11/1/1975,11.67770818,,,,0.812837267
12/1/1975,11.65500279,,,,0.789419802
1/1/1976,12.12224221,,,,0.853191691
2/1/1976,12.14656452,,,,0.843074667
3/1/1976,12.17133419,,,,0.830296907
4/1/1976,12.28277301,,,,0.828214252
5/1/1976,12.27957466,,,,0.814243803
