date,Tot NonFarm Jobs (Thou),Unemployment Rate,Tot Vis Arrivals (Thou),Tot Vis Days (Thou),Med Resale Price for SFH ($THOU),Real Resid Bldg Permits (1992 $MIL),Const Jobs (Thou)
1/1/1972,9.983573399,,,,,,0.599881403
4/1/1972,10.09554463,,,,,,0.60411975
7/1/1972,10.20950833,,,,,,0.618182242
10/1/1972,10.35221337,,,,,,0.636737607
1/1/1973,10.5864384,,,,,,0.683236954
4/1/1973,10.59409633,,,,,,0.697923862
7/1/1973,10.706865,,,,,,0.713277035
10/1/1973,10.86823655,,,,,,0.732745837
1/1/1974,10.5175334,,,,,,0.849276384
4/1/1974,10.6047404,,,,,,0.852237757
7/1/1974,10.78243702,,,,,,0.874827192
10/1/1974,10.76956271,,,,,,0.87213941
1/1/1975,11.52618546,,,,,,0.911085901
4/1/1975,11.5843555,,,,,,0.889860896
7/1/1975,11.6355763,,,,,,0.858685593
10/1/1975,11.66173545,,,,,,0.810291845
1/1/1976,12.14671364,,,,,,0.842187755
4/1/1976,12.30422808,,,,,,0.813384145
7/1/1976,12.33147987,,,,,,0.785065203
10/1/1976,12.4408804,,,,,,0.790910128
1/1/1977,12.9271119,,,,,,0.709045223
4/1/1977,13.02776354,,,,,,0.70753084
7/1/1977,13.081459,,,,,,0.686307682
10/1/1977,13.13625027,,,,,,0.632797412
1/1/1978,13.34112519,,,,,,0.667307289
4/1/1978,13.56602275,,,,,,0.68582649
7/1/1978,13.80530385,,,,,,0.717465683
10/1/1978,14.02137232,,,,,,0.746606816
1/1/1979,14.14750965,,,,,,0.894882219
4/1/1979,14.23954021,,,,,,0.903999792
7/1/1979,14.38714292,,,,,,0.948650647
10/1/1979,14.36721476,,,,,,0.97587317
1/1/1980,15.10916073,,,,,,1.466007607
4/1/1980,15.16947147,,,,,,1.444834642
7/1/1980,15.13946427,,,,,,1.342732271
10/1/1980,15.21793888,,,,,,1.367248073
1/1/1981,15.27319487,,,,,,1.15516891
