date,Total Visitor Arrivals,US Visitors Arrivals,US West Visitor Arrivals,US East Visitor Arrivals,Japan Visitor Arrivals,Other Visitor Arrivals,Length of Stay,Visitor Days,Average Daily Room Rate,Hotel Occupancy Rate,Revenue per Available Room,Total Visitor Expenditures
1/1/1989,,,,,,,,,89.57775516,73.94505741,,
2/1/1989,,,,,,,,,89.75779226,72.7196122,,
3/1/1989,,,,,,,,,88.89939381,73.21433361,,
4/1/1989,,,,,,,,,93.16797913,70.1626334,,
5/1/1989,,,,,,,,,92.07224756,67.63194306,,
6/1/1989,,,,,,,,,91.29009777,70.6279414,,
7/1/1989,,,,,,,,,95.27707167,72.36689319,,
8/1/1989,,,,,,,,,94.39564569,72.06540783,,
9/1/1989,,,,,,,,,92.19184894,70.68860662,,
10/1/1989,,,,,,,,,91.74436252,68.67077309,,
11/1/1989,,,,,,,,,92.34080585,69.04418184,,
12/1/1989,,,,,,,,,94.87499965,71.96261633,,
1/1/1990,103.4589649,83.45594292,,,,,,,95.73312399,69.2191251,,
2/1/1990,100.6386801,81.67380707,,,,,,,92.96270794,69.47183072,,
3/1/1990,100.2358944,83.03393528,,,,,,,91.34956855,69.57254294,,
4/1/1990,104.3391382,88.77166881,,,,,,,91.12566732,69.75571455,,
5/1/1990,101.8057026,84.25445449,,,,,,,89.83223068,68.44963924,,
6/1/1990,103.633468,83.85561511,,,,,,,91.06144094,66.08474722,,
7/1/1990,105.8097355,86.38487313,,,,,,,91.18015526,68.08195751,,
8/1/1990,105.8206122,84.01258184,,,,,,,91.1150095,66.9789403,,
9/1/1990,97.83492478,79.5143561,,,,,,,91.00318069,65.8732629,,
10/1/1990,102.1676823,80.00617482,,,,,,,92.57027316,66.14108175,,
11/1/1990,102.1395879,79.30357443,,,,,,,93.63423639,65.39036154,,
12/1/1990,100.9651524,77.75661602,,,,,,,92.75240559,62.08079622,,
1/1/1991,96.31060048,77.0020644,,,11.47710174,7.831434337,,,94.97645683,60.96916566,,
2/1/1991,82.18536496,68.74208284,,,5.531887964,7.911394153,,,90.6126811,50.04253428,,
3/1/1991,91.53702041,75.3298126,,,5.331049284,10.87615852,,,91.90578646,53.41023511,,
4/1/1991,102.1747955,84.85574358,,,7.442611135,9.876440783,,,92.66253758,61.57390735,,
5/1/1991,100.9809994,81.78365783,,,7.871252406,11.3260892,,,93.65701131,61.69232633,,
6/1/1991,102.4839567,82.41562675,,,8.509657487,11.5586725,,,94.55787393,65.71246633,,
7/1/1991,106.3586031,86.80340845,,,11.73302215,7.822172498,,,99.46269343,66.41329279,,
8/1/1991,106.6680792,89.29566868,,,10.42161943,6.950791057,,,96.62106657,65.52391444,,
