date,Total Visitor Arrivals,US Visitors Arrivals,US West Visitor Arrivals,US East Visitor Arrivals,Japan Visitor Arrivals,Other Visitor Arrivals,Length of Stay,Visitor Days,Average Daily Room Rate,Hotel Occupancy Rate,Revenue per Available Room,Total Visitor Expenditures
1/1/1989,,,,,,,,,89.41164707,73.29300107,,
4/1/1989,,,,,,,,,92.17677482,69.47417262,,
7/1/1989,,,,,,,,,93.95485543,71.70696921,,
10/1/1989,,,,,,,,,92.98672267,69.89252376,,
1/1/1990,304.3335394,248.1636853,,,,,,,93.34846683,69.42116625,,
4/1/1990,309.7783087,256.8817384,,,,,,,90.67311298,68.09670034,,
7/1/1990,309.4652725,249.9118111,,,,,,,91.09944848,66.97805357,,
10/1/1990,305.2724227,237.0663653,,,,,,,92.98563838,64.53741317,,
1/1/1991,270.0329858,221.0739598,,,22.34003899,26.61898701,,,92.49830813,54.80731168,,
4/1/1991,305.6397517,249.0550282,,,23.82352103,32.76120248,,,93.62580761,62.9929,,
7/1/1991,316.1002743,259.8641847,,,32.4374563,23.79863332,,,97.49271318,65.88976568,,
10/1/1991,290.5533189,230.9525273,,,28.54898369,31.05180788,,,99.97983775,62.74335597,,
1/1/1992,271.68249,202.0489096,,,27.6178939,42.01568644,5.099814874,1385.530403,103.4423079,61.56578155,,
4/1/1992,244.5495262,182.3191552,,,26.48024567,35.75012531,4.459594998,1090.591844,92.76699393,64.70592343,,
7/1/1992,198.5019197,146.2660286,,,26.81023595,25.42565515,7.09819056,1409.004452,82.94193253,71.80064624,,
10/1/1992,166.996407,120.0103066,,,28.71162448,18.27447593,6.930799765,1157.418659,70.90543231,80.42764877,,
1/1/1993,122.4223846,85.42614098,,,23.97266233,13.0235813,5.393022541,660.2266798,57.52765951,75.9377932,,
4/1/1993,125.5976792,83.59169265,,,22.18197874,19.82400785,5.040179558,633.0348554,61.8280833,74.45885177,,
7/1/1993,151.3616425,99.8523612,,,19.2085988,32.30068248,5.047565023,764.0077324,67.81499481,69.22659531,,
10/1/1993,176.9839936,122.4276052,,,19.35676013,35.19962834,5.187521716,918.1083104,76.08592905,70.64342638,,
1/1/1994,208.4384578,153.2736825,,,18.27119782,36.89357754,5.43399292,1132.653104,91.86308953,77.3423617,,
4/1/1994,213.1694957,158.17167,,,20.94693128,34.0508944,5.552597489,1183.644407,105.6872251,77.69222045,,
7/1/1994,215.3442892,162.2159002,,,25.70867558,27.4197134,5.728465113,1233.592248,116.6998628,76.29310782,,
10/1/1994,223.7665082,171.7849473,,,25.19319532,26.78836562,5.723773838,1280.788886,122.1398226,72.63897669,,
1/1/1995,222.4662442,172.5522943,,,24.57856296,25.33538697,5.620192652,1250.303151,122.4760249,65.62169677,,
4/1/1995,227.1194809,167.3851194,,,26.6819645,33.05239701,5.679137661,1289.842797,127.660306,62.40029326,,
7/1/1995,238.1406082,174.7248415,,,23.20820343,40.2075633,5.586565858,1330.388191,124.4038858,63.64519484,,
10/1/1995,241.4237472,177.8126449,,,21.05126911,42.55983319,5.564757793,1343.464678,125.4231167,64.9994818,,
1/1/1996,241.6325693,183.2884302,,,21.81114161,36.53299746,5.542398958,1339.2241,123.4397401,66.93830371,,
4/1/1996,248.7896309,186.9964374,,,24.84031939,36.95287416,5.555735061,1382.209275,123.8079783,66.52519811,,
7/1/1996,244.9761309,184.7213534,,,27.36144506,32.89333244,5.657162632,1385.869813,126.601681,64.69073946,,
10/1/1996,240.0380142,174.999279,,,27.68709394,37.3516412,5.723736193,1373.914269,130.4206006,63.21242539,,
1/1/1997,248.0243931,179.2353969,,,23.90127108,44.88772515,5.773857609,1432.057529,134.4422023,66.17594818,,
4/1/1997,247.1333568,182.1653238,,,23.9267514,41.04128159,6.071528405,1500.477196,135.7003098,67.62982984,,
7/1/1997,248.5990181,181.8990536,,,23.31113457,43.38882993,6.079445838,1511.344266,135.4381604,66.94604155,,
10/1/1997,253.3299511,189.1437257,,,27.19084296,36.99538236,5.893602687,1493.02608,133.3026609,67.14818043,,
1/1/1998,261.4869402,189.3106753,,,29.56366853,42.61259637,6.046244815,1581.014056,135.2410351,65.39360954,91.11135708,
